id,language,question
g354,th,เลขา CEO อยู่แผนกไหน
g355,th,หัวหน้า GM ดาวเหนือคือใคร
g356,th,GM สายฟ้าอยู่ทีมเดียวกับใคร
g357,en,who is SFVP's boss
g359,th,GM ดาวเหนือ ใคร
g361,th,GM วงโคจร คือใคร
g362,th,จุดเชื่อม GM ใคร
g363,en,who manages the SaiFah brand
g364,th,ใต้ CFO มีใครรายงานตรงบ้าง
g366,th,CPO ดูแลใครบ้าง
g367,en,who reports to the COO
g368,th,CEO-CoS รายงานใคร
g369,th,DNVP ขึ้นใคร
g370,th,HRVP ขึ้นตรงกับใคร
g371,en,reporting chain from a TEC engineer up to CEO
g372,th,สาขาภาคใต้ของฟ้าใหม่มีที่ไหนบ้าง
g374,th,HKT อยู่จังหวัดอะไรนะ
g375,th,NMA อยู่ที่ไหน
g377,th,สาขาภาคอีสานมีที่ไหนบ้าง
g378,en,which branch is in northern Thailand
g379,th,ใครมีชื่อเล่นเป็นชื่อผลไม้บ้าง
g380,th,ใครชื่อเล่นเป็นชื่อสีบ้าง
g382,th,นามสกุล อภิกอบสุข มีกี่คน
g384,th,จิตรานนท์ฟ้า มีกี่คน
g385,th,ที่ฟ้าใหม่มีพนักงานที่เป็นญาติกันมั้ย ขอตัวอย่างหน่อย
g386,en,how many employees share the surname วัชรบุญ
g387,th,นัตตี้อยู่ทีมไหนนะ
g390,th,ปุ๊กกี้อยู่ทีมไหน
g391,th,ติ๊กตี้คือใคร
g392,th,ออมมี่อยู่แผนกไหน
g393,th,ฟิล์มมี่เบอร์อะไร
g394,th,ปันคือใครใน TEC
g395,en,who's NUTTY in TEC
g396,en,MINTY's extension in FIN please
g398,th,ขอเบอร์พี่ NUT หน่อย
